category,type,name,url,url_img,price,stock,manufacturer,flush,spec,housing,connection,size,material,IP,output_structure,voltage,output_type,adjust,distance,indicator,temperature
Индуктивные датчики,Индуктивный датчик,ISB A42A-01G-5-L-5,https://teko-com.ru/product/isb-a42a-01g-5-l-5.html,/static/main/img/ind_TEKO/ISB_A42A_3d-228x228.jpg,2120,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,Двухпроводный датчик,90-250 [AC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A8-31P-5-LZ-V,https://teko-com.ru/product/isb-a41a8-31p-5-lz-v.html,/static/main/img/ind_TEKO/ISB_A41A8_3d-228x228.jpg,2140,По запросу,TEKO,Встраиваемый,В условиях повышенной вибрации ,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 68,PNP,10-30 [DC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A8-31P-5-LZ,https://teko-com.ru/product/isb-a41a8-31p-5-lz.html,/static/main/img/ind_TEKO/ISB_A41A8_3d-228x228.jpg,1780,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 68,PNP,10-30 [DC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A8-31N-5-LZ,https://teko-com.ru/product/isb-a41a8-31n-5-lz.html,/static/main/img/ind_TEKO/ISB_A41A8_3d-228x228.jpg,2050,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 68,NPN,10-30 [DC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A8-21-5-P-G,https://teko-com.ru/product/isb-a41a8-21-5-p-g.html,/static/main/img/ind_TEKO/ISB_A41A8_3d-228x228.jpg,6320,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 68,Двухпроводный датчик,10-30 [DC],NO,Нет,5.0,Нет,-5...+120
Индуктивные датчики,Индуктивный датчик,"ISB A41A-43P-5-LZ-D-O-0,2",https://teko-com.ru/product/isb-a41a-43p-5-lz-d-o-0-2.html,/static/main/img/ind_TEKO/ISB_A41A_43P_5_LZ_D_O_3d-228x228.jpg,2820,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,5.0,Есть,-60...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-43P-5-LZ-D,https://teko-com.ru/product/isb-a41a-43p-5-lz-d.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,2240,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,5.0,Есть,-60...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-43P-5-LZ,https://teko-com.ru/product/isb-a41a-43p-5-lz.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1630,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-43P-5-L,https://teko-com.ru/product/isb-a41a-43p-5-l.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1600,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,5.0,Нет,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-43N-5-LZ,https://teko-com.ru/product/isb-a41a-43n-5-lz.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1700,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,NPN,10-30 [DC],NO и NC,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-43N-5-L,https://teko-com.ru/product/isb-a41a-43n-5-l.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1680,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,NPN,10-30 [DC],NO и NC,Нет,5.0,Нет,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-32P-5-LZ,https://teko-com.ru/product/isb-a41a-32p-5-lz.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1590,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,PNP,10-30 [DC],NC,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-32N-5-LZ,https://teko-com.ru/product/isb-a41a-32n-5-lz.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1650,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,NPN,10-30 [DC],NC,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-31P-5G-LZ,https://teko-com.ru/product/isb-a41a-31p-5g-lz.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1740,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,PNP,10-30 [DC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,"ISB A41A-31P-5-LZ-2,5",https://teko-com.ru/product/isb-a41a-31p-5-lz-2-5.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1710,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,PNP,10-30 [DC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A41A-31N-5F-LZ,https://teko-com.ru/product/isb-a41a-31n-5f-lz.html,/static/main/img/ind_TEKO/ISB_A41A_3d-228x228.jpg,1790,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,NPN,10-30 [DC],NO,Нет,5.0,Есть,-15...+65
